State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.92391	0.92233	0.92947	0.94178	0.94496	0.95052	0.95449	0.95171	0.94972	0.94575	0.94099	0.93622	0.93225	0.91438	0.90327	0.89652	0.88580	0.87706	0.87111	0.85959	0.86198
2	0.65328	0.65544	0.65529	0.65558	0.65353	0.65260	0.65133	0.65289	0.65426	0.65935	0.66878	0.67949	0.68952	0.69563	0.70154	0.70736	0.71528	0.72359	0.73142	0.74032	0.74804
3	1.07002	1.06103	1.06215	1.05541	1.07339	1.09025	1.10599	1.10261	1.12847	1.11498	1.09025	1.08575	1.10149	1.12060	1.15207	1.17904	1.17680	1.21726	1.21838	1.24086	1.26334
4	3.46926	3.47836	3.49099	3.50212	3.52082	3.52385	3.50464	3.48189	3.45561	3.42326	3.39444	3.34440	3.28930	3.24077	3.18314	3.11035	3.03806	2.96325	2.88237	2.80604	2.73375
5	1.39296	1.39970	1.39521	1.37163	1.33123	1.28184	1.25714	1.22123	1.17296	1.15163	1.12470	1.11235	1.11347	1.09551	1.07755	1.04500	1.04837	1.02704	1.04163	1.04949	1.03490
6	1.96293	1.92161	1.90685	2.00131	1.95113	1.97474	2.08986	2.15480	2.18727	2.17546	2.09281	2.03378	1.96588	1.91275	1.86257	1.84486	1.75040	1.71498	1.65004	1.69727	1.72974
7	1.19168	1.19289	1.23269	1.21339	1.30627	1.33521	1.42688	1.41603	1.46910	1.50890	1.49925	1.47151	1.42929	1.48237	1.50046	1.51734	1.57645	1.54267	1.59213	1.59092	1.56197
8	1.87574	1.79431	1.67215	1.63958	1.69116	1.71559	1.62058	1.78073	1.81059	1.75359	1.75087	1.62872	1.60700	1.56900	1.59072	1.70201	1.62872	1.75630	1.72916	1.73459	1.68844
9	3.20818	3.12747	3.05348	3.00304	2.75419	2.75083	2.72729	2.63985	2.64321	2.58605	2.46498	2.56251	2.58268	2.61295	2.75419	2.78446	2.78782	2.74746	2.76092	2.71047	2.78109
10	3.62077	3.67608	3.68614	3.58054	3.64088	3.58054	3.52522	3.57048	3.47996	3.53025	3.50510	3.33412	3.12794	3.09777	2.90164	2.84632	2.92679	2.86644	2.80609	2.65020	2.55465
