15	10	E	-6105679.360600595	125
transitionprobs	11	2	1.1152144763197447E-4
transitionprobs	11	3	0.0
transitionprobs	11	4	3.652384983476011E-4
transitionprobs	11	5	0.023694196700495922
transitionprobs	11	6	0.030423379703713033
transitionprobs	11	7	0.029945009710305635
transitionprobs	11	8	0.08489072450657074
transitionprobs	11	9	0.006908250774240898
transitionprobs	11	10	0.09821068566015045
transitionprobs	11	11	0.5936723543574788
transitionprobs	11	12	0.12105208271859084
transitionprobs	11	13	0.0
transitionprobs	11	14	0.0
transitionprobs	11	15	0.0
transitionprobs	12	1	0.006261570203167105
transitionprobs	12	2	1.173379862329585E-4
transitionprobs	12	3	0.023728303555195288
transitionprobs	12	4	0.004433390154857499
transitionprobs	12	5	0.2038872977619416
transitionprobs	12	6	0.06878158476507219
transitionprobs	12	7	0.004512709329646192
transitionprobs	12	8	0.0042698102462650715
transitionprobs	12	9	7.235674573556219E-5
transitionprobs	12	10	0.015872782163273733
transitionprobs	12	11	0.0685625229400534
transitionprobs	12	12	0.5514497081889379
transitionprobs	12	13	0.03502454771641011
transitionprobs	12	14	1.8062242008763584E-4
transitionprobs	12	15	0.012845455823123875
transitionprobs	13	1	0.0024102682809676625
transitionprobs	13	2	0.0
transitionprobs	13	3	4.0426265353467523E-4
transitionprobs	13	4	0.0
transitionprobs	13	5	0.02548003777460775
transitionprobs	13	6	0.004437648713622154
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	9.657814777950948E-5
transitionprobs	13	10	0.03582139333323536
transitionprobs	13	11	0.0
transitionprobs	13	12	0.04411958697640998
transitionprobs	13	13	0.6018682023968048
transitionprobs	13	14	0.06371391352757944
transitionprobs	13	15	0.2216481081954588
transitionprobs	14	1	0.0
transitionprobs	14	2	3.748588730042449E-5
transitionprobs	14	3	0.004036097381213709
transitionprobs	14	4	0.028918819180218328
transitionprobs	14	5	0.0
transitionprobs	14	6	0.0
transitionprobs	14	7	0.0
transitionprobs	14	8	0.0
transitionprobs	14	9	2.311834628459473E-6
transitionprobs	14	10	0.025002333759664024
transitionprobs	14	11	0.0
transitionprobs	14	12	6.727766940992324E-5
transitionprobs	14	13	0.28435067249607704
transitionprobs	14	14	0.6100639990515382
transitionprobs	14	15	0.047521002739949934
transitionprobs	15	1	0.004281370774993332
transitionprobs	15	2	0.0
transitionprobs	15	3	7.354730771595126E-4
transitionprobs	15	4	0.008286079627313772
transitionprobs	15	5	0.18379871280463783
transitionprobs	15	6	0.019589455193798677
transitionprobs	15	7	0.0
transitionprobs	15	8	3.170730993473217E-5
transitionprobs	15	9	4.64841862720157E-4
transitionprobs	15	10	0.002427584869580012
transitionprobs	15	11	0.0
transitionprobs	15	12	0.013476613094834904
transitionprobs	15	13	0.1714867757837306
transitionprobs	15	14	0.008995971464949133
transitionprobs	15	15	0.5864254141363476
emissionprobs	1	0	Ctc	0	0.10852640432514223
emissionprobs	1	0	Ctc	1	0.8914735956748577
emissionprobs	1	1	H3k27ac	0	0.9888225821818163
emissionprobs	1	1	H3k27ac	1	0.011177417818183814
emissionprobs	1	2	H3k27me3	0	0.9889486614063275
emissionprobs	1	2	H3k27me3	1	0.01105133859367236
emissionprobs	1	3	H3k36me3	0	1.0
emissionprobs	1	3	H3k36me3	1	0.0
emissionprobs	1	4	H3k4me2	0	0.9618209990415458
emissionprobs	1	4	H3k4me2	1	0.03817900095845409
emissionprobs	1	5	H3k4me3	0	0.9980052763803655
emissionprobs	1	5	H3k4me3	1	0.0019947236196344443
emissionprobs	1	6	H3k9ac	0	1.0
emissionprobs	1	6	H3k9ac	1	0.0
emissionprobs	1	7	H3k9me1	0	0.9982665460086336
emissionprobs	1	7	H3k9me1	1	0.0017334539913664547
emissionprobs	1	8	H4k20me1	0	0.9956051475154157
emissionprobs	1	8	H4k20me1	1	0.004394852484584232
emissionprobs	1	9	Pol2b	0	0.9603538031126203
emissionprobs	1	9	Pol2b	1	0.03964619688737961
emissionprobs	2	0	Ctc	0	0.42964943254207855
emissionprobs	2	0	Ctc	1	0.5703505674579213
emissionprobs	2	1	H3k27ac	0	0.8536011852964249
emissionprobs	2	1	H3k27ac	1	0.14639881470357508
emissionprobs	2	2	H3k27me3	0	0.1576882021285185
emissionprobs	2	2	H3k27me3	1	0.8423117978714816
emissionprobs	2	3	H3k36me3	0	1.0
emissionprobs	2	3	H3k36me3	1	0.0
emissionprobs	2	4	H3k4me2	0	0.6644374813723196
emissionprobs	2	4	H3k4me2	1	0.3355625186276804
emissionprobs	2	5	H3k4me3	0	0.3868065205155024
emissionprobs	2	5	H3k4me3	1	0.6131934794844976
emissionprobs	2	6	H3k9ac	0	1.0
emissionprobs	2	6	H3k9ac	1	0.0
emissionprobs	2	7	H3k9me1	0	0.4340166759729836
emissionprobs	2	7	H3k9me1	1	0.5659833240270165
emissionprobs	2	8	H4k20me1	0	0.1645309402073416
emissionprobs	2	8	H4k20me1	1	0.8354690597926584
emissionprobs	2	9	Pol2b	0	0.39413246322969975
emissionprobs	2	9	Pol2b	1	0.6058675367703004
emissionprobs	3	0	Ctc	0	0.9861148986601432
emissionprobs	3	0	Ctc	1	0.013885101339856742
emissionprobs	3	1	H3k27ac	0	0.9862636165649955
emissionprobs	3	1	H3k27ac	1	0.013736383435004483
emissionprobs	3	2	H3k27me3	0	0.9959975986931571
emissionprobs	3	2	H3k27me3	1	0.004002401306842938
emissionprobs	3	3	H3k36me3	0	1.0
emissionprobs	3	3	H3k36me3	1	0.0
emissionprobs	3	4	H3k4me2	0	0.9901283793739141
emissionprobs	3	4	H3k4me2	1	0.009871620626085808
emissionprobs	3	5	H3k4me3	0	0.9984154604042698
emissionprobs	3	5	H3k4me3	1	0.0015845395957302063
emissionprobs	3	6	H3k9ac	0	1.0
emissionprobs	3	6	H3k9ac	1	0.0
emissionprobs	3	7	H3k9me1	0	0.9730664392267071
emissionprobs	3	7	H3k9me1	1	0.026933560773292845
emissionprobs	3	8	H4k20me1	0	0.8655883500188907
emissionprobs	3	8	H4k20me1	1	0.13441164998110938
emissionprobs	3	9	Pol2b	0	0.9251403297066968
emissionprobs	3	9	Pol2b	1	0.07485967029330315
emissionprobs	4	0	Ctc	0	0.9785905835239239
emissionprobs	4	0	Ctc	1	0.021409416476076127
emissionprobs	4	1	H3k27ac	0	0.970260650567745
emissionprobs	4	1	H3k27ac	1	0.02973934943225493
emissionprobs	4	2	H3k27me3	0	0.9996494197374044
