State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.25520	1.26190	1.27037	1.25555	1.22413	1.17225	1.08435	0.98375	0.86692	0.79350	0.75573	0.74549	0.79879	0.87645	0.97952	1.06635	1.12742	1.16095	1.19060	1.18919	1.18919
2	0.74150	0.72149	0.69724	0.66064	0.60916	0.54515	0.47307	0.41042	0.37192	0.35259	0.34483	0.34880	0.36345	0.37963	0.40055	0.42547	0.45725	0.48601	0.50684	0.52356	0.53776
3	0.68320	0.67182	0.65266	0.61913	0.57722	0.52453	0.48441	0.42573	0.38441	0.37783	0.37304	0.37124	0.37663	0.39639	0.40956	0.43052	0.44788	0.45028	0.45207	0.46525	0.47004
4	1.10498	0.96139	0.89272	0.84902	0.86775	0.79908	0.61180	0.59931	0.56810	0.59307	0.60555	0.57434	0.55561	0.56810	0.66798	0.83654	1.11746	1.37966	1.53573	1.83539	1.95400
5	0.85182	0.79913	0.73854	0.66521	0.59100	0.53788	0.48519	0.44567	0.43294	0.42064	0.41888	0.42591	0.44084	0.45357	0.47377	0.51329	0.58837	0.71570	0.85402	1.00682	1.12098
6	1.35892	1.16365	0.94248	0.74023	0.61968	0.53799	0.48718	0.45829	0.43438	0.43836	0.42441	0.45629	0.48020	0.50412	0.52304	0.57485	0.72330	1.18158	1.83514	2.50663	3.18111
7	3.03533	2.94067	2.62116	2.15373	1.57979	1.10645	0.97628	0.85498	0.80765	0.77511	0.82836	0.80173	0.79286	0.84611	0.95853	1.38158	2.92292	5.06777	6.94636	7.93151	8.03210
8	2.84077	3.02044	3.07081	3.04358	2.94422	2.53723	2.09621	1.60755	1.15700	0.99910	0.93240	0.91063	0.93513	1.04266	1.14339	1.33939	1.58577	1.78722	1.98187	2.04312	2.02543
9	2.59381	2.72601	2.99043	3.33354	3.52871	4.02292	3.70814	2.87081	2.07127	1.59595	1.40708	1.22450	1.21821	1.29376	1.49522	1.98942	2.38605	2.25069	2.01775	1.76278	1.67464
10	3.48881	3.95738	4.58894	5.80620	7.94023	11.01650	14.84656	17.33711	15.54941	8.22036	3.98794	3.98285	4.64496	5.84185	6.69750	6.03539	4.51254	3.36148	2.74521	2.40397	1.99143
11	4.30366	5.01234	5.87119	7.59829	10.73804	15.97565	25.15085	37.29685	50.02949	57.01297	60.88017	69.43587	65.07589	53.72773	36.36290	21.65911	12.85467	8.10046	5.53797	3.90005	2.92856
12	4.70909	5.36667	7.33940	10.96667	15.10304	17.05455	18.94243	18.62425	18.85759	40.85457	53.56063	15.88789	14.16970	15.76061	18.45456	20.87274	18.53940	14.91213	9.65152	6.85152	5.32425
13	6.78664	8.11075	9.94741	11.55628	12.26342	11.69865	8.61856	5.56695	3.79672	3.08958	3.00416	3.58790	5.82797	12.67631	24.85430	34.17051	36.51024	32.91284	27.45505	22.30100	18.55174
14	2.73466	3.26948	3.85476	4.91431	6.85179	10.16163	14.18794	18.27479	19.86917	20.28290	18.33534	17.37669	17.07396	16.42814	14.35948	11.54410	8.68835	6.91233	5.28768	4.19785	3.21903
15	1.65294	1.76958	1.96620	2.41276	2.97596	3.47584	3.60247	2.72268	1.90621	1.79957	1.84289	1.54297	1.15972	0.96310	0.99310	1.05308	0.96977	0.91978	0.84313	0.79648	0.71316
